127.0.0.1 - - [11/Dec/2016:21:23:05 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:23:11 +0100] "GET /GUITesting/ HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:23:16 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 3636
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:23:17 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 200 810175
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:23:17 +0100] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:23:48 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:23:48 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:31:49 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:31:49 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:34:57 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4002
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:34:57 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:38:10 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:38:10 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:42:15 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:42:15 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:45:21 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 3797
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:45:21 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:47:46 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 3793
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:47:46 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:54:45 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:54:45 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:56:40 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4465
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:56:40 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:56:59 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:56:59 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:58:04 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4467
0:0:0:0:0:0:0:1 - - [11/Dec/2016:21:58:04 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:22:00:31 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4406
0:0:0:0:0:0:0:1 - - [11/Dec/2016:22:00:31 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:22:02:58 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4450
